,Año,Trimestre,Provincia,Accesos por cada 100 hab
351,2020,3,Río Negro,17.54802558517
352,2020,3,Salta,12.670239307125406
353,2020,3,San Juan,9.88083251128296
354,2020,3,San Luis,22.8839263803681
355,2020,3,Santa Cruz,10.697207032526524
356,2020,3,Santa Fe,22.677710522681583
357,2020,3,Santiago Del Estero,10.76484130094044
358,2020,3,Tierra Del Fuego,22.771515363810202
359,2020,3,Tucumán,13.184990703555616
360,2020,2,Buenos Aires,21.552858404836318
361,2020,2,Capital Federal,44.15182686820503
362,2020,2,Catamarca,11.556666835285702
363,2020,2,Chaco,10.646198278920558
364,2020,2,Chubut,17.577923412048097
365,2020,2,Córdoba,22.262629768284135
366,2020,2,Corrientes,10.613139950481656
367,2020,2,Entre Ríos,16.90464963972206
368,2020,2,Formosa,7.925539742616724
369,2020,2,Jujuy,12.246000275261045
370,2020,2,La Pampa,25.07384596485546
371,2020,2,La Rioja,13.267548880443243
372,2020,2,Mendoza,10.116652469373573
373,2020,2,Misiones,11.136919674351834
374,2020,2,Neuquén,19.02059866374008
375,2020,2,Río Negro,17.338453751536527
376,2020,2,Salta,12.492822821915325
377,2020,2,San Juan,8.939786450606132
378,2020,2,San Luis,22.440286647722235
379,2020,2,Santa Cruz,10.650675172081195
380,2020,2,Santa Fe,22.01189934872471
381,2020,2,Santiago Del Estero,10.787648634906734
382,2020,2,Tierra Del Fuego,22.642392447335883
383,2020,2,Tucumán,12.826796661758182
384,2020,1,Buenos Aires,21.208081014212762
385,2020,1,Capital Federal,44.02408243452466
386,2020,1,Catamarca,9.568286447482455
387,2020,1,Chaco,10.018358007806318
388,2020,1,Chubut,15.715139739949185
389,2020,1,Córdoba,21.64232669040361
390,2020,1,Corrientes,10.198192297264285
391,2020,1,Entre Ríos,16.779387594256768
392,2020,1,Formosa,7.693633209507935
393,2020,1,Jujuy,11.934505713694248
394,2020,1,La Pampa,24.96348894596364
395,2020,1,La Rioja,12.337423688670192
396,2020,1,Mendoza,9.248656325291032
397,2020,1,Misiones,10.627621055982175
398,2020,1,Neuquén,18.409872883598883
399,2020,1,Río Negro,16.95263605430754
400,2020,1,Salta,12.011697200976553
401,2020,1,San Juan,8.251277881190129
402,2020,1,San Luis,21.838769386372302
403,2020,1,Santa Cruz,10.704172537298618
404,2020,1,Santa Fe,21.86132458787361
