,Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,1 Mbps","10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,35 Mbps,36 Mbps,40 Mbps,41 Mbps,45 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,59 Mbps,60 Mbps,61 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,80 Mbps,85 Mbps,90 Mbps,95 Mbps,98 Mbps,100 Mbps,"100,1 Mbps","100,25 Mbps",105 Mbps,110 Mbps,120 Mbps,122 Mbps,125 Mbps,130 Mbps,140 Mbps,150 Mbps,155 Mbps,160 Mbps,164 Mbps,165 Mbps,180 Mbps,200 Mbps,205 Mbps,212 Mbps,220 Mbps,225 Mbps,240 Mbps,246 Mbps,250 Mbps,256 Mbps,275 Mbps,300 Mbps,320 Mbps,325 Mbps,330 Mbps,350 Mbps,400 Mbps,450 Mbps,480 Mbps,500 Mbps,512 Mbps,520 Mbps,540 Mbps,600 Mbps,680 Mbps,700 Mbps,800 Mbps,850 Mbps,900 Mbps,999 Mbps,1000 Mbps,1024 Mbps,4000 Mbps,10000 Mbps
33,BUENOS AIRES,Almirante Brown,Claypole,6028010,1.0,,,,2.0,6.0,,,,,2.0,,3.0,,,4.0,5.0,,,,,,259.0,,,,,,,,,,,,,,,,,,,,,,,4111.0,,,,,,,,,,129.0,,,,,,352.0,,,,,7.0,,,,,,652.0,,,,,,,,,,2165.0,,,,,,,,,,,,,,,,3040.0,,,,,,,,555.0,,,,,,,,,,,568.0,,,
34,BUENOS AIRES,Almirante Brown,Don Orione,6028010,,,,,,,,,,,,,,,,3.0,,,,,,,225.0,,,,,,,,42.0,,,,,,,,,,2.0,,,,,5.0,,,,,,,,,,14.0,,,,,,312.0,,,,,9.0,,,,,,45.0,,,,,,,,,,2051.0,,,,,,,,,,,,,,,,2205.0,,,,,,,,390.0,,,,,,,,,,,496.0,,,
35,BUENOS AIRES,Almirante Brown,Glew,6028010,1.0,,5.0,,7.0,4.0,,15.0,,,5.0,,27.0,29.0,,9.0,12.0,,,,16.0,,203.0,,,,,,,,8.0,,,,,,,,,,27.0,,,,,11741.0,,,,,,,,,,151.0,,,,,,356.0,,,,,4.0,,,,,,651.0,,,,,,,,,,3557.0,,,,,,,,,,,,,,,,2970.0,,,,,,,,563.0,,,,,,,,,,,741.0,,,
36,BUENOS AIRES,Almirante Brown,Jose Mármol,6028010,,,,,,1.0,,,,,,,2.0,,,2.0,1.0,,,,3.0,,260.0,,,,,,,,,,,,,,,,,,2.0,,,,,1384.0,,,,,,,,,,172.0,,,,,,292.0,,,,,12.0,,,,,,1208.0,,,,,,,,,,1723.0,,,,,,,,,,,,,,,,3043.0,,,,,,,,463.0,,,,,,,,,,,423.0,,,
37,BUENOS AIRES,Almirante Brown,Longchamps,6028010,1.0,,1.0,,3.0,,,,,,3.0,,21.0,,,10.0,1.0,,,,4.0,,356.0,,,,,,,,4.0,,,,,,,,,,3.0,,,,,7431.0,,,,,,,,,,215.0,,,,,,372.0,,,,,12.0,,,,,,1149.0,,,,,,,,,,2650.0,,,,,,,,,,,,,,,,3580.0,,,,,,,,629.0,,,,,,,,,,,525.0,,,
38,BUENOS AIRES,Almirante Brown,Malvinas Argentinas,6028010,1.0,,,,,3.0,,,,,,,,,,5.0,1.0,,,,,,74.0,,,,,,,,,,,,2.0,,,,,,,,,,,6.0,,,,,,,,,,79.0,,,,,,172.0,,,,,4.0,,,,,,398.0,,,,,,,,,,1450.0,,,,,,,,,,,,,,,,2008.0,,,,,,,,366.0,,,,,,,,,,,364.0,,,
39,BUENOS AIRES,Almirante Brown,Ministro Rivadavia,6028010,,,,,,,,,,,,,2.0,,,2.0,,,,,,,155.0,,,,,,,,,,,,,,,,,,,,,,,4095.0,,,,,,,,,,17.0,,,,,,202.0,,,,,4.0,,,,,,120.0,,,,,,,,,,1219.0,,,,,,,,,,,,,,,,1401.0,,,,,,,,304.0,,,,,,,,,,,241.0,,,
40,BUENOS AIRES,Almirante Brown,Rafael Calzada,6028010,1.0,,3.0,,10.0,28.0,,,,,97.0,,18.0,339.0,,9.0,52.0,,,,3.0,,408.0,,,,,,,,9.0,,,,,,,,,,,,,,,9967.0,,,,,,,,,,203.0,,,,,,464.0,,,,,14.0,,,,,,1059.0,,,,,,,,,,3072.0,,,,,,,,,,,,,,,,4295.0,,,,,,,,753.0,,,,,,,,,,,666.0,,,
41,BUENOS AIRES,Almirante Brown,San Francisco Solano,6028010,1.0,,1.0,,4.0,9.0,,,,,40.0,,21.0,,,1.0,88.0,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,3236.0,,,,,,,,,,33.0,,,,,,178.0,,,,,1.0,,,,,,132.0,,,,,,,,,,1542.0,,,,,,,,,,,,,,,,1795.0,,,,,,,,327.0,,,,,,,,,,,343.0,,,
42,BUENOS AIRES,Almirante Brown,San Jose,6028010,,,3.0,,1.0,,,,,,,,2.0,,,5.0,,,,,,,292.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,66.0,,,,,,438.0,,,,,11.0,,,,,,403.0,,,,,,,,,,3114.0,,,,,,,,,,,,,,,,3416.0,,,,,,,,647.0,,,,,,,,,,,622.0,,,
43,BUENOS AIRES,AMBA,Otros,Sin Datos,0.0,,13.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,BUENOS AIRES,Arrecifes,Arrecifes,6077010,159.0,,1.0,,6.0,137.0,,275.0,,,546.0,,165.0,292.0,,,95.0,,,,285.0,,10.0,,,,,,,,451.0,,,,4483.0,,,,,,,,,,,3.0,,,,,,,,,,1821.0,,,,,,,,,,,,,,,,,1301.0,,,,,,,,,,,,,,,,,,,,,,,,,,376.0,,,,,,,,23.0,,,,,,,,,,,6.0,,,
45,BUENOS AIRES,Arrecifes,Todd,6077020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.0,,,,,,,,,,,,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,BUENOS AIRES,Arrecifes,Viña,6077030,,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,BUENOS AIRES,Avellaneda,Avellaneda,6035010,34.0,,8.0,5.0,43.0,41.0,,1.0,,,27.0,,288.0,,,12.0,24.0,,,,397.0,,211.0,,,,,,,,817.0,,,,22.0,,,,,,1.0,,,,,2948.0,,,,,,,,,,2591.0,,,,,,86.0,,,,,6.0,,,,,,3502.0,,,,,,,,,,801.0,,,,,,1.0,,,,,,,,,,3935.0,,,,,,,,553.0,,,,78.0,,,,,,,284.0,,,
48,BUENOS AIRES,Avellaneda,Crucesita,6035010,,,,,1.0,1.0,,,,,1.0,,6.0,,,5.0,1.0,,,,3.0,,93.0,,,,,,,,1.0,,,,16.0,,,,,,2.0,,,,,13.0,,,,,,,,,,2174.0,,,,,,86.0,,,,,6.0,,,,,,2070.0,,,,,,,,,,609.0,,,,,,,,,,,,,,,,2207.0,,,,,,,,312.0,,,,65.0,,,,,,,217.0,,,
49,BUENOS AIRES,Avellaneda,Dock Sud,6035010,3.0,,1.0,,5.0,5.0,,,,,5.0,,,,,,5.0,,,,1.0,,29.0,,,,,,,,,,,,4.0,,,,,23.0,,,,,,3.0,,,,,,,,,,1291.0,,,,,,29.0,,,,,2.0,,,,,,481.0,,,,,,,,,,262.0,,,,,,,,,,,,,,,,329.0,,,,,,,,38.0,,,,32.0,,,,,,,40.0,,,
50,BUENOS AIRES,Avellaneda,Gerli,6035010,,,1.0,,2.0,2.0,,,,,,,1.0,,,,,,,,,,241.0,,,,,,,,,,,,13.0,,,,,,2.0,,,,,2.0,,,,,,,,,,3531.0,,,,,,169.0,,,,,7.0,,,,,,2378.0,,,,,,,,,,943.0,,,,,,,,,,,,,,,,2660.0,,,,,,,,320.0,,,,73.0,,,,,,,258.0,,,
51,BUENOS AIRES,Avellaneda,Pineyro,6035010,1.0,,4.0,,2.0,5.0,,1.0,,,,,4.0,,,6.0,,,,,2.0,,186.0,,,,,,,,1.0,,,,7.0,,,,,,,,,,,12.0,,,,,1.0,,,,,1997.0,,,,,,134.0,,,,,7.0,,,,,,1909.0,,,,,,,,,,878.0,,,,,,,,,,,,,,,,2585.0,,,,,,,,318.0,,,,60.0,,,,,,2.0,270.0,,,
52,BUENOS AIRES,Avellaneda,Sarandí,6035010,3.0,,12.0,1.0,35.0,5.0,,2.0,,,1.0,,215.0,,,14.0,,,,,128.0,,260.0,,,,,,,,1605.0,,,,35.0,,,,,,5.0,,,,,3394.0,,,,,,,,,,6520.0,,,,,,217.0,,,,,5.0,,,,,,4481.0,,,,,,,,,,1555.0,,,,,,,,,,,,,,,,4536.0,,,,,,,,538.0,,,,139.0,,,,,,,436.0,,,
53,BUENOS AIRES,Avellaneda,Villa Domínico,6035010,2.0,,5.0,,8.0,9.0,,1.0,,,5.0,,2.0,,,6.0,8.0,,10.0,,468.0,,342.0,,,,,,,,9.0,,,,36.0,,,,,,1.0,,,,,15.0,,,4.0,,8.0,,,,,5503.0,,,,,,254.0,,,,,9.0,,,,,,3149.0,,,,,,,,,,1722.0,,,,,,,,,,,,,,,,3758.0,,,,,,,,513.0,,,,104.0,,,,,,,672.0,,,
54,BUENOS AIRES,Avellaneda,Wilde,6035010,3.0,,5.0,,32.0,6.0,,,,,1.0,,116.0,,,7.0,7.0,,,,261.0,,375.0,,,,,,,,1685.0,,,,61.0,,,,,,5.0,,,,,3079.0,,,2.0,,1.0,,,,,7974.0,,,,,,322.0,,,,,18.0,,,,,,4995.0,,,,,,,,,,2199.0,,,,,,,,,,,,,,,,5714.0,,,,,,,,761.0,,,,145.0,,,,,,,573.0,,,
55,BUENOS AIRES,Ayacucho,Ayacucho,6042010,,,,,7.0,119.0,,,,,,,109.0,,,,23.0,,,,752.0,,,,,,,,,,1202.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,BUENOS AIRES,Ayacucho,La Constancia,6042020,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,BUENOS AIRES,Ayacucho,Solanet,6042030,,,,,,17.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,BUENOS AIRES,Ayacucho,Udaquiola,6042040,,,,1.0,,31.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,BUENOS AIRES,Azul,Azul,6049020,14.0,,9.0,,55.0,171.0,,819.0,,,,,754.0,,,121.0,2.0,,,,951.0,,130.0,,,,,,,,683.0,,,,9.0,,,,,,,,,,,14.0,,,,,2.0,,,,,1234.0,,,1.0,,,,,,,,,,,,,,8122.0,,,,,,,,,,,,,,,,,,,,,,,,,,5359.0,,,,,,,,209.0,,,,,,,,,,,28.0,,,
60,BUENOS AIRES,Azul,Cacharí,6049030,,,,,,,,458.0,,,,,,,,56.0,5.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,BUENOS AIRES,Azul,Chillar,6049040,,,,1.0,,,,8.0,,,,,,545.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,BUENOS AIRES,Bahía Blanca,Bahía Blanca,6056010,33.0,2.0,19.0,1.0,184.0,152.0,,83.0,,,323.0,,1714.0,200.0,,362.0,427.0,,7.0,,2856.0,1.0,423.0,,,3.0,96.0,,2.0,3.0,1263.0,3.0,2.0,,27.0,,1.0,,,,75.0,,,,,1602.0,,,,,,,,,,3642.0,,,,,59.0,,,,,2.0,,,,,,,59694.0,,,,,,,,,,25352.0,,,,,,,,,,,,,,,,25197.0,,,,,,,,1520.0,,,,,,,,,,,147.0,,,
63,BUENOS AIRES,Bahía Blanca,Cabildo,6056020,6.0,,,,,,,,,,,,,9.0,,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,BUENOS AIRES,Bahía Blanca,General Daniel Cerri  (Est. General Cerri),6056030,,,,,2.0,,,,,,,,24.0,,,,11.0,,,,48.0,,3.0,,,,,,,,300.0,,,,,,,,,,,,,,,,,,,,,,,,,104.0,,,,,,,,,,,,,,,,,929.0,,,,,,,,,,,,,,,,,,,,,,,,,,608.0,,,,,,,,26.0,,,,,,,,,,,2.0,,,
