,Año,Trimestre,Provincia,Accesos por cada 100 hogares
230,2021,4,Neuquén,73.30016254020012
231,2021,4,Río Negro,65.69489961160652
232,2021,4,Salta,56.81442605762217
233,2021,4,San Juan,39.588851864871685
234,2021,4,San Luis,80.29578283135379
235,2021,4,Santa Cruz,43.05121466117346
236,2021,4,Santa Fe,77.08920179439227
237,2021,4,Santiago Del Estero,47.0459491943867
238,2021,4,Tierra Del Fuego,98.40061644865433
239,2021,4,Tucumán,55.92599102424391
240,2021,3,Buenos Aires,71.68218940101933
241,2021,3,Capital Federal,111.27105514250894
242,2021,3,Catamarca,52.709793486001274
243,2021,3,Chaco,42.96241007967663
244,2021,3,Chubut,80.70973847657562
245,2021,3,Córdoba,81.2845665540848
246,2021,3,Corrientes,44.90088312664412
247,2021,3,Entre Ríos,62.17940145385769
248,2021,3,Formosa,33.962033540684324
249,2021,3,Jujuy,55.6892647441935
250,2021,3,La Pampa,84.27996309653611
251,2021,3,La Rioja,77.26016061386845
252,2021,3,Mendoza,45.54828468056102
253,2021,3,Misiones,45.57065365808786
254,2021,3,Neuquén,69.70653344501615
255,2021,3,Río Negro,61.967213114754095
256,2021,3,Salta,55.964278059584196
257,2021,3,San Juan,39.4554480019856
258,2021,3,San Luis,79.87043349212911
259,2021,3,Santa Cruz,43.74732028012005
260,2021,3,Santa Fe,75.01704762728227
261,2021,3,Santiago Del Estero,47.0
262,2021,3,Tierra Del Fuego,94.95386825985027
263,2021,3,Tucumán,54.63604486100796
264,2021,2,Buenos Aires,70.00330336027972
265,2021,2,Capital Federal,110.14440203212098
266,2021,2,Catamarca,52.34030966263861
267,2021,2,Chaco,43.32762729293539
268,2021,2,Chubut,72.29410481936469
269,2021,2,Córdoba,80.11518795931242
270,2021,2,Corrientes,43.5411637336848
271,2021,2,Entre Ríos,61.660264464787886
272,2021,2,Formosa,33.22548419322613
273,2021,2,Jujuy,56.182157011467694
274,2021,2,La Pampa,82.08000672325404
275,2021,2,La Rioja,76.9786615851933
276,2021,2,Mendoza,40.97324182617088
277,2021,2,Misiones,45.0128113119994
278,2021,2,Neuquén,69.14021084638621
279,2021,2,Río Negro,61.94204057417748
280,2021,2,Salta,54.930090174788894
281,2021,2,San Juan,39.28402570062062
282,2021,2,San Luis,83.47810720063075
283,2021,2,Santa Cruz,44.01491665543425
284,2021,2,Santa Fe,75.06878626293008
285,2021,2,Santiago Del Estero,46.557275364921054
286,2021,2,Tierra Del Fuego,67.88580775229184
287,2021,2,Tucumán,54.928196510348045
288,2021,1,Buenos Aires,69.10524076185938
289,2021,1,Capital Federal,108.4199392232935
290,2021,1,Catamarca,48.899092927848244
291,2021,1,Chaco,43.13649241708794
292,2021,1,Chubut,68.9942808881567
293,2021,1,Córdoba,78.59028062380018
294,2021,1,Corrientes,42.664128438821415
295,2021,1,Entre Ríos,60.439449728342346
296,2021,1,Formosa,32.732955756327215
297,2021,1,Jujuy,55.63244789620541
298,2021,1,La Pampa,81.77676345752207
299,2021,1,La Rioja,49.80693519079345
300,2021,1,Mendoza,39.153661528996416
301,2021,1,Misiones,43.172438905971845
302,2021,1,Neuquén,66.84208942045272
303,2021,1,Río Negro,60.87924030325769
304,2021,1,Salta,53.93001926339093
305,2021,1,San Juan,39.055194335357605
306,2021,1,San Luis,81.23730177127507
307,2021,1,Santa Cruz,41.64783103990742
308,2021,1,Santa Fe,73.91656407026184
309,2021,1,Santiago Del Estero,45.67308282365455
310,2021,1,Tierra Del Fuego,77.34935609177366
311,2021,1,Tucumán,54.81892254125389
312,2020,4,Buenos Aires,68.97702220170737
313,2020,4,Capital Federal,108.31107489043508
314,2020,4,Catamarca,49.40688354549741
315,2020,4,Chaco,43.030788649779105
316,2020,4,Chubut,68.35189915825622
317,2020,4,Córdoba,78.07960876338194
318,2020,4,Corrientes,42.42828394694903
319,2020,4,Entre Ríos,59.47430676097378
320,2020,4,Formosa,32.487381907596735
321,2020,4,Jujuy,53.45659123390888
322,2020,4,La Pampa,81.76793248945148
323,2020,4,La Rioja,50.11061211701148
324,2020,4,Mendoza,38.62957896227819
325,2020,4,Misiones,42.64411416119227
326,2020,4,Neuquén,67.00234522048092
327,2020,4,Río Negro,61.088615480454756
328,2020,4,Salta,54.04275200147659
329,2020,4,San Juan,36.32088215575813
330,2020,4,San Luis,81.67947806105701
331,2020,4,Santa Cruz,36.99957245908797
332,2020,4,Santa Fe,73.58073807267776
333,2020,4,Santiago Del Estero,43.749256620689934
334,2020,4,Tierra Del Fuego,76.26583496977399
335,2020,4,Tucumán,54.78340441369959
336,2020,3,Buenos Aires,67.65618983090923
337,2020,3,Capital Federal,107.6759011657323
338,2020,3,Catamarca,47.15709898417198
339,2020,3,Chaco,41.54192057806515
340,2020,3,Chubut,68.34389815720037
341,2020,3,Córdoba,75.22035723669207
342,2020,3,Corrientes,41.750749470464434
343,2020,3,Entre Ríos,58.1901640924315
344,2020,3,Formosa,31.905623310186538
345,2020,3,Jujuy,54.04441923820905
346,2020,3,La Pampa,79.26447706670275
347,2020,3,La Rioja,50.118113236302676
348,2020,3,Mendoza,37.348633137232696
349,2020,3,Misiones,41.60448628544863
350,2020,3,Neuquén,65.24417025530218
351,2020,3,Río Negro,57.052405915845014
352,2020,3,Salta,52.31571212848803
353,2020,3,San Juan,38.78995525412846
354,2020,3,San Luis,79.96172209417188
355,2020,3,Santa Cruz,35.95152890784452
356,2020,3,Santa Fe,72.12060247348236
357,2020,3,Santiago Del Estero,43.37593131691913
358,2020,3,Tierra Del Fuego,76.80909583946696
359,2020,3,Tucumán,53.2281495112899
360,2020,2,Buenos Aires,65.2205801358229
361,2020,2,Capital Federal,106.41480599073645
362,2020,2,Catamarca,45.43181818181818
363,2020,2,Chaco,39.83250279006581
364,2020,2,Chubut,57.344613387235526
365,2020,2,Córdoba,72.71358531242393
366,2020,2,Corrientes,40.30476267979574
367,2020,2,Entre Ríos,56.538654739709614
368,2020,2,Formosa,31.1394362262631
369,2020,2,Jujuy,47.887810227872784
370,2020,2,La Pampa,76.10158288987562
371,2020,2,La Rioja,49.83993501839552
372,2020,2,Mendoza,36.25224342110005
373,2020,2,Misiones,40.88779600969606
374,2020,2,Neuquén,63.898469033764314
375,2020,2,Río Negro,56.369335248791955
376,2020,2,Salta,51.58158335340357
377,2020,2,San Juan,35.09485776365026
378,2020,2,San Luis,78.4096773527651
379,2020,2,Santa Cruz,35.79262396979603
380,2020,2,Santa Fe,70.002168637187
381,2020,2,Santiago Del Estero,43.46716682468362
382,2020,2,Tierra Del Fuego,76.36948260742473
383,2020,2,Tucumán,51.78074091030483
384,2020,1,Buenos Aires,64.32563101743429
385,2020,1,Capital Federal,105.98017414181909
386,2020,1,Catamarca,37.615427687460254
387,2020,1,Chaco,37.483833369172615
388,2020,1,Chubut,51.26848941909703
389,2020,1,Córdoba,70.6880744339108
390,2020,1,Corrientes,38.729079942230904
391,2020,1,Entre Ríos,56.12006051437216
392,2020,1,Formosa,30.228303962606848
393,2020,1,Jujuy,46.670230639987786
394,2020,1,La Pampa,75.76678781291396
395,2020,1,La Rioja,46.346631384166976
396,2020,1,Mendoza,33.14207670017271
397,2020,1,Misiones,39.01834755171205
398,2020,1,Neuquén,61.84749362355069
399,2020,1,Río Negro,55.11566865962362
400,2020,1,Salta,49.59568027012866
401,2020,1,San Juan,32.392292136304725
402,2020,1,San Luis,76.30854184641933
403,2020,1,Santa Cruz,35.97427628896549
404,2020,1,Santa Fe,69.52357940253133
405,2020,1,Santiago Del Estero,42.466359187991806
406,2020,1,Tierra Del Fuego,76.06964979018785
407,2020,1,Tucumán,47.84792325850032
408,2019,4,Buenos Aires,64.25205288245421
409,2019,4,Capital Federal,106.24546751041055
410,2019,4,Catamarca,36.43842912715547
411,2019,4,Chaco,36.835478630342415
412,2019,4,Chubut,51.145017855147124
