,Año,Trimestre,Provincia,Mbps (Media de bajada)
271,2021,2,Entre Ríos,27.61897306203556
272,2021,2,Formosa,23.96630452806761
273,2021,2,Jujuy,25.812477856862227
274,2021,2,La Pampa,12.27922373804818
275,2021,2,La Rioja,38.534894383007746
276,2021,2,Mendoza,13.465987205003026
277,2021,2,Misiones,28.682221735396933
278,2021,2,Neuquén,36.10972145846688
279,2021,2,Río Negro,23.748446681442676
280,2021,2,Salta,29.239354220742428
281,2021,2,San Juan,6.993162601626016
282,2021,2,San Luis,21.66188998963924
283,2021,2,Santa Cruz,7.629667005202396
284,2021,2,Santa Fe,30.7018831645519
285,2021,2,Santiago Del Estero,12.718797838683303
286,2021,2,Tierra Del Fuego,8.591921426483484
287,2021,2,Tucumán,40.30992032851357
288,2021,1,Buenos Aires,50.78565608506508
289,2021,1,Capital Federal,68.29026886796898
290,2021,1,Catamarca,39.96652623965282
291,2021,1,Chaco,33.6262012999863
292,2021,1,Chubut,7.531527409144197
293,2021,1,Córdoba,36.168799328437636
294,2021,1,Corrientes,25.985171359720066
295,2021,1,Entre Ríos,23.871334373183572
296,2021,1,Formosa,20.980327506975218
297,2021,1,Jujuy,26.777362312404005
298,2021,1,La Pampa,10.728511929531797
299,2021,1,La Rioja,12.697554732181876
300,2021,1,Mendoza,12.599361245254226
301,2021,1,Misiones,25.076826126081443
302,2021,1,Neuquén,34.23850264753642
303,2021,1,Río Negro,21.923906760830956
304,2021,1,Salta,27.31884069404982
305,2021,1,San Juan,6.910089995382067
306,2021,1,San Luis,21.594379804710776
307,2021,1,Santa Cruz,7.501531847531764
308,2021,1,Santa Fe,28.130630073152936
309,2021,1,Santiago Del Estero,11.584174516498134
310,2021,1,Tierra Del Fuego,8.734752396277898
311,2021,1,Tucumán,37.97961958190828
312,2020,4,Buenos Aires,50.008380839635755
313,2020,4,Capital Federal,67.32513676879374
314,2020,4,Catamarca,37.6500877273544
315,2020,4,Chaco,32.45204676418101
316,2020,4,Chubut,7.383087626414736
317,2020,4,Córdoba,35.120601241883946
318,2020,4,Corrientes,25.446700896630592
319,2020,4,Entre Ríos,24.05327825306045
320,2020,4,Formosa,19.6983490087788
321,2020,4,Jujuy,25.20639328416149
322,2020,4,La Pampa,9.875605170860927
323,2020,4,La Rioja,12.534655980598345
324,2020,4,Mendoza,11.093171319457166
325,2020,4,Misiones,24.956617779680364
326,2020,4,Neuquén,33.90786486677393
327,2020,4,Río Negro,21.636719189849995
328,2020,4,Salta,25.322439650744734
329,2020,4,San Juan,6.412867397953183
330,2020,4,San Luis,21.252954082189127
331,2020,4,Santa Cruz,7.492108628119051
332,2020,4,Santa Fe,27.294352446215623
333,2020,4,Santiago Del Estero,11.280765527511996
334,2020,4,Tierra Del Fuego,8.486806949337868
335,2020,4,Tucumán,36.442246829152964
336,2020,3,Buenos Aires,48.37662390811511
337,2020,3,Capital Federal,63.80852025607172
338,2020,3,Catamarca,36.540436607329845
339,2020,3,Chaco,30.802726948564217
340,2020,3,Chubut,7.402074441844787
341,2020,3,Córdoba,33.51119497419789
342,2020,3,Corrientes,23.851523971242955
343,2020,3,Entre Ríos,22.432598646206184
344,2020,3,Formosa,18.282832069430402
345,2020,3,Jujuy,21.910419686869954
346,2020,3,La Pampa,10.697630905402091
347,2020,3,La Rioja,12.194703767058197
348,2020,3,Mendoza,10.18749103459563
349,2020,3,Misiones,24.141761872521517
350,2020,3,Neuquén,31.46090402703376
351,2020,3,Río Negro,21.077778703258762
352,2020,3,Salta,25.261155924027737
353,2020,3,San Juan,6.027864793582682
354,2020,3,San Luis,20.84992813378867
355,2020,3,Santa Cruz,6.649363712026633
356,2020,3,Santa Fe,25.690941341268072
357,2020,3,Santiago Del Estero,10.879017270659741
358,2020,3,Tierra Del Fuego,8.506676055475614
359,2020,3,Tucumán,34.835801698615526
360,2020,2,Buenos Aires,45.66197363212277
361,2020,2,Capital Federal,60.4844973584038
362,2020,2,Catamarca,34.92595642857143
363,2020,2,Chaco,27.952284674364286
364,2020,2,Chubut,7.605487984559083
365,2020,2,Córdoba,30.987577637139466
366,2020,2,Corrientes,22.15030606257576
367,2020,2,Entre Ríos,20.448621178442586
368,2020,2,Formosa,16.870258993114398
369,2020,2,Jujuy,15.864013631862552
370,2020,2,La Pampa,8.028862255598405
371,2020,2,La Rioja,11.669110961977259
372,2020,2,Mendoza,9.274562732094155
373,2020,2,Misiones,22.560122617583183
374,2020,2,Neuquén,29.100147623878513
375,2020,2,Río Negro,19.679596047283173
376,2020,2,Salta,22.55853618795662
377,2020,2,San Juan,6.308614963196474
378,2020,2,San Luis,21.02062693689071
379,2020,2,Santa Cruz,6.593202418178028
380,2020,2,Santa Fe,23.925791608984095
381,2020,2,Santiago Del Estero,10.411619106122004
382,2020,2,Tierra Del Fuego,8.128329395457266
383,2020,2,Tucumán,32.70453443718797
384,2020,1,Buenos Aires,45.18128807375552
385,2020,1,Capital Federal,58.70568296242247
386,2020,1,Catamarca,29.132225012939607
387,2020,1,Chaco,25.942049334121737
388,2020,1,Chubut,7.117047781865397
389,2020,1,Córdoba,29.394787835061326
390,2020,1,Corrientes,20.538999274943325
391,2020,1,Entre Ríos,19.029765335057498
392,2020,1,Formosa,15.697352607415109
393,2020,1,Jujuy,14.14492205715465
394,2020,1,La Pampa,7.291757720474826
395,2020,1,La Rioja,7.962418947150687
396,2020,1,Mendoza,8.440867710216997
397,2020,1,Misiones,22.148213068436263
398,2020,1,Neuquén,27.76828207897622
399,2020,1,Río Negro,19.06030056406124
400,2020,1,Salta,21.425047243902736
