,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
301,2021,1,Misiones,149387,0.0,149387
302,2021,1,Neuquén,132862,373.0,133235
303,2021,1,Río Negro,140667,501.0,141168
304,2021,1,Salta,187572,2.0,187574
305,2021,1,San Juan,78011,256.0,78267
306,2021,1,San Luis,119006,148.0,119154
307,2021,1,Santa Cruz,45868,197.0,46065
308,2021,1,Santa Fe,825990,137.0,826127
309,2021,1,Santiago Del Estero,111640,1.0,111641
310,2021,1,Tierra Del Fuego,40133,289.0,40422
311,2021,1,Tucumán,231890,22.0,231912
312,2020,4,Buenos Aires,4028195,5066.0,4033261
313,2020,4,Capital Federal,1378140,1390.0,1379530
314,2020,4,Catamarca,52395,1.0,52396
315,2020,4,Chaco,139088,3.0,139091
316,2020,4,Chubut,129749,825.0,130574
317,2020,4,Córdoba,902646,55.0,902701
318,2020,4,Corrientes,125656,3.0,125659
319,2020,4,Entre Ríos,247368,13.0,247381
320,2020,4,Formosa,50206,0.0,50206
321,2020,4,Jujuy,105851,0.0,105851
322,2020,4,La Pampa,96779,116.0,96895
323,2020,4,La Rioja,52775,3.0,52778
324,2020,4,Mendoza,214838,615.0,215453
325,2020,4,Misiones,147161,0.0,147161
326,2020,4,Neuquén,132762,373.0,133135
327,2020,4,Río Negro,140709,501.0,141210
328,2020,4,Salta,187388,2.0,187390
329,2020,4,San Juan,72340,256.0,72596
330,2020,4,San Luis,119287,148.0,119435
331,2020,4,Santa Cruz,40477,197.0,40674
332,2020,4,Santa Fe,820676,137.0,820813
333,2020,4,Santiago Del Estero,106668,1.0,106669
334,2020,4,Tierra Del Fuego,39325,289.0,39614
335,2020,4,Tucumán,231067,22.0,231089
336,2020,3,Buenos Aires,3932211,5066.0,3937277
337,2020,3,Capital Federal,1371285,1390.0,1372675
338,2020,3,Catamarca,49903,1.0,49904
339,2020,3,Chaco,133951,3.0,133954
340,2020,3,Chubut,129202,825.0,130027
341,2020,3,Córdoba,867417,55.0,867472
342,2020,3,Corrientes,123388,3.0,123391
343,2020,3,Entre Ríos,241482,13.0,241495
344,2020,3,Formosa,49209,0.0,49209
345,2020,3,Jujuy,106728,0.0,106728
346,2020,3,La Pampa,93619,116.0,93735
347,2020,3,La Rioja,52613,3.0,52616
348,2020,3,Mendoza,207173,615.0,207788
349,2020,3,Misiones,143186,0.0,143186
350,2020,3,Neuquén,128862,373.0,129235
351,2020,3,Río Negro,130966,501.0,131467
352,2020,3,Salta,180844,2.0,180846
353,2020,3,San Juan,77071,256.0,77327
354,2020,3,San Luis,116417,148.0,116565
355,2020,3,Santa Cruz,39084,197.0,39281
356,2020,3,Santa Fe,802861,137.0,802998
357,2020,3,Santiago Del Estero,105491,1.0,105492
358,2020,3,Tierra Del Fuego,39366,289.0,39655
359,2020,3,Tucumán,223854,22.0,223876
360,2020,2,Buenos Aires,3772480,5066.0,3777546
361,2020,2,Capital Federal,1356431,1390.0,1357821
362,2020,2,Catamarca,47975,1.0,47976
363,2020,2,Chaco,128129,3.0,128132
364,2020,2,Chubut,107831,825.0,108656
365,2020,2,Córdoba,836413,55.0,836468
366,2020,2,Corrientes,118863,3.0,118866
367,2020,2,Entre Ríos,234100,13.0,234113
368,2020,2,Formosa,47932,0.0,47932
369,2020,2,Jujuy,94316,0.0,94316
370,2020,2,La Pampa,89693,116.0,89809
371,2020,2,La Rioja,52152,3.0,52155
372,2020,2,Mendoza,200569,615.0,201184
373,2020,2,Misiones,140340,0.0,140340
374,2020,2,Neuquén,125799,373.0,126172
375,2020,2,Río Negro,128985,501.0,129486
376,2020,2,Salta,177760,2.0,177762
377,2020,2,San Juan,69521,256.0,69777
378,2020,2,San Luis,113804,148.0,113952
379,2020,2,Santa Cruz,38672,197.0,38869
380,2020,2,Santa Fe,777795,137.0,777932
381,2020,2,Santiago Del Estero,105446,1.0,105447
382,2020,2,Tierra Del Fuego,38900,289.0,39189
383,2020,2,Tucumán,217134,22.0,217156
384,2020,1,Buenos Aires,3702985,5066.0,3708051
385,2020,1,Capital Federal,1352104,1390.0,1353494
386,2020,1,Catamarca,39634,1.0,39635
387,2020,1,Chaco,120274,3.0,120277
388,2020,1,Chubut,95938,800.0,96738
389,2020,1,Córdoba,811044,55.0,811099
390,2020,1,Corrientes,113967,3.0,113970
391,2020,1,Entre Ríos,231833,13.0,231846
392,2020,1,Formosa,46434,0.0,46434
393,2020,1,Jujuy,91665,0.0,91665
394,2020,1,La Pampa,89110,116.0,89226
395,2020,1,La Rioja,48337,3.0,48340
396,2020,1,Mendoza,182837,615.0,183452
397,2020,1,Misiones,133552,0.0,133552
398,2020,1,Neuquén,121354,373.0,121727
399,2020,1,Río Negro,125699,501.0,126200
400,2020,1,Salta,170379,2.0,170381
401,2020,1,San Juan,63975,256.0,64231
402,2020,1,San Luis,110404,148.0,110552
403,2020,1,Santa Cruz,38625,197.0,38822
404,2020,1,Santa Fe,770981,137.0,771118
405,2020,1,Santiago Del Estero,102754,1.0,102755
406,2020,1,Tierra Del Fuego,38505,289.0,38794
407,2020,1,Tucumán,200045,22.0,200067
408,2019,4,Buenos Aires,3681120,5134.0,3686254
409,2019,4,Capital Federal,1356695,1410.0,1358105
410,2019,4,Catamarca,38310,1.0,38311
411,2019,4,Chaco,117900,3.0,117903
412,2019,4,Chubut,95292,810.0,96102
413,2019,4,Córdoba,806633,55.0,806688
414,2019,4,Corrientes,113831,3.0,113834
415,2019,4,Entre Ríos,239017,13.0,239030
416,2019,4,Formosa,46711,0.0,46711
417,2019,4,Jujuy,88881,0.0,88881
418,2019,4,La Pampa,90280,119.0,90399
419,2019,4,La Rioja,48999,3.0,49002
420,2019,4,Mendoza,185157,623.0,185780
421,2019,4,Misiones,135813,0.0,135813
422,2019,4,Neuquén,116069,376.0,116445
423,2019,4,Río Negro,126636,504.0,127140
424,2019,4,Salta,172443,2.0,172445
425,2019,4,San Juan,64715,259.0,64974
426,2019,4,San Luis,108053,148.0,108201
427,2019,4,Santa Cruz,39170,200.0,39370
428,2019,4,Santa Fe,769019,150.0,769169
429,2019,4,Santiago Del Estero,103587,1.0,103588
430,2019,4,Tierra Del Fuego,40101,291.0,40392
431,2019,4,Tucumán,198621,23.0,198644
432,2019,3,Buenos Aires,3950114,10119.0,3960233
433,2019,3,Capital Federal,1437734,3477.0,1441211
434,2019,3,Catamarca,32391,9.0,32400
435,2019,3,Chaco,114438,13.0,114451
436,2019,3,Chubut,87481,1524.0,89005
437,2019,3,Córdoba,782946,107.0,783053
438,2019,3,Corrientes,112749,10.0,112759
439,2019,3,Entre Ríos,238057,45.0,238102
440,2019,3,Formosa,46066,0.0,46066
441,2019,3,Jujuy,86575,1.0,86576
